noc,competitors,bronze,gold,silver,medals,medal_ratio,fail_ratio,blewed_chances
LAT,419,6.0,4.0,11.0,21.0,0.050119331742243436,0.9498806682577565,398.0
GRN,60,1.0,1.0,1.0,3.0,0.05,0.95,57.0
DOM,250,4.0,3.0,5.0,12.0,0.048,0.952,238.0
NGR,590,13.0,3.0,11.0,27.0,0.04576271186440678,0.9542372881355932,563.0
MAR,556,12.0,7.0,5.0,24.0,0.04316546762589928,0.9568345323741008,532.0
BDI,47,0.0,1.0,1.0,2.0,0.0425531914893617,0.9574468085106383,45.0
AUT,2243,40.0,19.0,34.0,93.0,0.041462327240303166,0.9585376727596968,2150.0
ARG,1885,30.0,21.0,26.0,77.0,0.04084880636604774,0.9591511936339523,1808.0
UGA,270,3.0,4.0,4.0,11.0,0.040740740740740744,0.9592592592592593,259.0
TPE,892,18.0,7.0,11.0,36.0,0.04035874439461883,0.9596412556053812,856.0
COL,931,16.0,5.0,13.0,34.0,0.036519871106337275,0.9634801288936627,897.0
ALG,476,8.0,5.0,4.0,17.0,0.03571428571428571,0.9642857142857143,459.0
TUN,420,7.0,5.0,3.0,15.0,0.03571428571428571,0.9642857142857143,405.0
IND,1010,16.0,10.0,9.0,35.0,0.034653465346534656,0.9653465346534653,975.0
KGZ,203,4.0,0.0,3.0,7.0,0.034482758620689655,0.9655172413793104,196.0
NIG,58,1.0,0.0,1.0,2.0,0.034482758620689655,0.9655172413793104,56.0
MAS,380,5.0,0.0,8.0,13.0,0.034210526315789476,0.9657894736842105,367.0
UNK,30,0.0,1.0,0.0,1.0,0.03333333333333333,0.9666666666666667,29.0
MEX,2184,35.0,13.0,24.0,72.0,0.03296703296703297,0.967032967032967,2112.0
ZIM,251,1.0,3.0,4.0,8.0,0.03187250996015936,0.9681274900398407,243.0
IRL,1099,14.0,11.0,10.0,35.0,0.03184713375796178,0.9681528662420382,1064.0
JOR,95,1.0,1.0,1.0,3.0,0.031578947368421054,0.968421052631579,92.0
PAK,320,4.0,3.0,3.0,10.0,0.03125,0.96875,310.0
VIE,169,1.0,1.0,3.0,5.0,0.029585798816568046,0.9704142011834319,164.0
EGY,1156,17.0,7.0,10.0,34.0,0.029411764705882353,0.9705882352941176,1122.0
BRN,136,0.0,2.0,2.0,4.0,0.029411764705882353,0.9705882352941176,132.0
MNE,34,0.0,0.0,1.0,1.0,0.029411764705882353,0.9705882352941176,33.0
MKD,70,1.0,0.0,1.0,2.0,0.02857142857142857,0.9714285714285714,68.0
CIV,141,2.0,1.0,1.0,4.0,0.028368794326241134,0.9716312056737588,137.0
URU,358,6.0,2.0,2.0,10.0,0.027932960893854747,0.9720670391061452,348.0
MDA,217,4.0,0.0,2.0,6.0,0.027649769585253458,0.9723502304147466,211.0
SUR,74,1.0,1.0,0.0,2.0,0.02702702702702703,0.972972972972973,72.0
CMR,228,2.0,3.0,1.0,6.0,0.02631578947368421,0.9736842105263158,222.0
SYR,153,2.0,1.0,1.0,4.0,0.026143790849673203,0.9738562091503268,149.0
UAR,78,1.0,0.0,1.0,2.0,0.02564102564102564,0.9743589743589743,76.0
BOH,158,3.0,0.0,1.0,4.0,0.02531645569620253,0.9746835443037974,154.0
VEN,777,9.0,3.0,7.0,19.0,0.02445302445302445,0.9755469755469756,758.0
AFG,86,2.0,0.0,0.0,2.0,0.023255813953488372,0.9767441860465116,84.0
MOZ,86,1.0,1.0,0.0,2.0,0.023255813953488372,0.9767441860465116,84.0
BOT,87,1.0,0.0,1.0,2.0,0.022988505747126436,0.9770114942528736,85.0
PHI,614,8.0,1.0,5.0,14.0,0.02280130293159609,0.9771986970684039,600.0
DJI,44,1.0,0.0,0.0,1.0,0.022727272727272728,0.9772727272727273,43.0
POR,1267,14.0,5.0,9.0,28.0,0.022099447513812154,0.9779005524861879,1239.0
PAN,144,2.0,1.0,0.0,3.0,0.020833333333333332,0.9791666666666666,141.0
SMR,144,2.0,0.0,1.0,3.0,0.020833333333333332,0.9791666666666666,141.0
GHA,241,4.0,0.0,1.0,5.0,0.02074688796680498,0.979253112033195,236.0
CHI,634,4.0,2.0,7.0,13.0,0.02050473186119874,0.9794952681388013,621.0
TGA,51,0.0,0.0,1.0,1.0,0.0196078431372549,0.9803921568627451,50.0
ISR,623,9.0,2.0,1.0,12.0,0.019261637239165328,0.9807383627608347,611.0
CRC,210,2.0,1.0,1.0,4.0,0.01904761904761905,0.9809523809523809,206.0
GAB,53,0.0,0.0,1.0,1.0,0.018867924528301886,0.9811320754716981,52.0
UAE,108,1.0,1.0,0.0,2.0,0.018518518518518517,0.9814814814814815,106.0
HAI,114,1.0,0.0,1.0,2.0,0.017543859649122806,0.9824561403508771,112.0
BUR,58,1.0,0.0,0.0,1.0,0.017241379310344827,0.9827586206896551,57.0
ERI,58,1.0,0.0,0.0,1.0,0.017241379310344827,0.9827586206896551,57.0
SGP,306,2.0,1.0,2.0,5.0,0.016339869281045753,0.9836601307189542,301.0
LBN,247,2.0,0.0,2.0,4.0,0.016194331983805668,0.9838056680161943,243.0
KSA,186,2.0,0.0,1.0,3.0,0.016129032258064516,0.9838709677419355,183.0
TOG,63,1.0,0.0,0.0,1.0,0.015873015873015872,0.9841269841269842,62.0
AHO,64,0.0,0.0,1.0,1.0,0.015625,0.984375,63.0
TKM,64,0.0,0.0,1.0,1.0,0.015625,0.984375,63.0
FIJ,194,1.0,2.0,0.0,3.0,0.015463917525773196,0.9845360824742269,191.0
ECU,325,0.0,3.0,2.0,5.0,0.015384615384615385,0.9846153846153847,320.0
HKG,587,4.0,2.0,3.0,9.0,0.015332197614991482,0.9846678023850085,578.0
KUW,203,3.0,0.0,0.0,3.0,0.014778325123152709,0.9852216748768473,200.0
PUR,720,6.0,2.0,2.0,10.0,0.013888888888888888,0.9861111111111112,710.0
TAN,150,0.0,0.0,2.0,2.0,0.013333333333333334,0.9866666666666667,148.0
SAM,75,0.0,0.0,1.0,1.0,0.013333333333333334,0.9866666666666667,74.0
SRI,156,0.0,0.0,2.0,2.0,0.01282051282051282,0.9871794871794872,154.0
ISL,326,2.0,0.0,2.0,4.0,0.012269938650306749,0.9877300613496932,322.0
ZAM,167,1.0,0.0,1.0,2.0,0.011976047904191617,0.9880239520958084,165.0
BER,168,1.0,1.0,0.0,2.0,0.011904761904761904,0.9880952380952381,166.0
